age,gender,height,weight,body_fat_percentage,Resting_BPM,active_BPM,Exercise
19,M,172.3,64.3,20.9,135,149,Walking
15,F,162,85.5,39.9,132,162,Jogging
29,M,172.7,86.2,31.2,130,147,Treadmill Running
17,M,169.9,76.4,22.6,130,150,Cycling
18,M,179.8,74,20.8,130,131,Swimming
25,F,170.3,56.8,27.2,127,136,Dancing
18,M,165,56.8,15.7,126,158,Aerobics
15,M,167.1,68.4,29.3,126,141,Gymnastics
18,M,168.2,75.3,28.3,125,129,Pilates
18,F,162.7,52.2,33.4,122,159,Yoga
19,M,166.7,95.8,33.4,119,142,Golf
18,M,167,51.8,20.9,119,129,Bowling
20,M,182.7,57.4,8.4,118,142,Table Tennis
27,M,180.8,58.1,14.5,118,139,Hiking
25,F,161.3,91,47.7,118,137,Tai Bo
19,M,175,66.8,16.6,117,136,Rock Climbing
21,F,167.5,52.6,32.3,117,152,Weightlifting
24,F,158.4,53.1,27.8,116,142,Horseback Riding
58,F,161.6,57.8,25.5,115,139,Bicycle Riding
21,F,159.1,52.2,30.1,115,129,Dodgeball
18,M,175.3,63.3,18.4,114,137,Football
29,M,175.6,66.4,11.5,114,126,Walking
60,M,170.3,88.7,28.4,114,147,Jogging
18,F,162.8,63.9,30.6,114,136,Treadmill Running
16,M,168.8,60,13.4,113,148,Cycling
25,M,175.4,70.2,20.1,113,149,Swimming
25,M,171.7,73.5,30.8,113,134,Dancing
22,F,164.4,68.5,41.9,112,133,Aerobics
15,M,168.2,52.4,12.7,111,126,Gymnastics
50,F,159.4,56.5,34.1,110,138,Pilates
13,F,152.9,46.4,21.9,110,144,Yoga
21,M,166.8,56.6,13.7,110,124,Golf
50,M,167.1,64,18.4,110,136,Bowling
18,F,160.1,65.3,38.7,110,169,Table Tennis
20,F,162.6,42.7,25.5,109,141,Hiking
17,M,172.5,98.9,34,109,139,Tai Bo
23,M,172.5,71.1,24.3,109,136,Rock Climbing
17,M,176.1,65.2,18.4,109,136,Weightlifting
37,M,156.3,48,28.2,109,160,Horseback Riding
56,F,155.3,63.8,34.5,108,134,Bicycle Riding
33,M,165.4,81.2,38.3,108,136,Dodgeball
18,M,170,67.1,18.8,108,152,Football
18,M,179.1,72.1,20.4,107,122,Walking
23,F,163.9,56.5,28.3,107,145,Jogging
19,M,174.5,68.6,17.6,107,132,Treadmill Running
43,M,187.6,72.7,21.6,106,116,Cycling
17,F,164,57.5,26.2,106,115,Swimming
50,M,174.2,76.8,19.1,106,122,Dancing
23,M,178.3,92.6,25.8,106,123,Aerobics
20,F,175.2,57.6,29.4,105,138,Gymnastics
17,M,187.3,94.8,24.1,105,134,Pilates
